ZREP,ZFIN,Material,RI Description,Cell,CBU Brand,RI CBU,RI Brand,RI Occasion,Major Pack,Minor Pack,Flavor/Form,Supply Segment,Product Type,Consumption Type,CRI Number,CRI Fert,CRI Description,CRI CBU,CRI Brand,CI Child Ingredient,CRI Major Pack,CRI Minor Pack,CRI UDP3_Brand Flavor/Form,CRI Supply Segment,Core/Non_Core/Innov/Seasonal,RI UDP1_DMR Type,Display Type,GSV 2024,NSV 2024,MAC $ 2024,GSV 2025,NSV 2025,MAC$ 2025,MAC_perc,Prime margin,Growth,Price Increase,List Price,GSV per case,Trade rate,NSV per case,Raw Materials,Packaging,Raw Waste,Package Waste,Total Primes,Labor,EXP PROD,OH Labor,OH Expense,Coman/Copack,Depreciation,Total MCC,Total WTD ICE,Logistics,Logistics/NSV,Total COGS Per Case,COGS_perc GSV,MAC $ Per Case,Raw materials per tonne,Plant,Declared weight,Case Count,List price per tonne,GSV per tonne,NSV per tonne,Packaging Per Tonne,Total primes per tonne,Labor per tonne,EXP PROD per tonne,Raw waste per tonne,Package Waste Per Tonne,OH Labor per tonne,OH Expense per tonne,Coman/Copack Per Tonne,Depreciation per tonne,Total MCC per tonne,Total WTD ICE per tonne,Logistics per tonne,MAC $ Per Tonne
431625.00,,10241518,ST ORG JLYBN SAMS 54OZ 6CS,Seasonal,Fruity ConfectionsSTARBURST,Fruity Confections,STARBURST,Non-Seasonal Gifting,Stand Up All Other,X-large,STARBURST JELLY BEANS ORIGINAL,Starch Molded,Chewy /Toffee Candy,Future Consumption,431625.0,0.0,ST ORG JLYBN SAMS 54OZ 6CS,Fruity Confections,STARBURST,Original,Stand Up All Other,X-large,STARBURST JELLY BEANS ORIGINAL,Starch Molded,Seasonal,SEAS,NON-DISPLAY,$2080988.76,$1746008.29514281,$-293536.431175519,,,,-16.81%,40.90%,,Post - June 2023,52.8,51.9024,16.10%,43.54757829,17.73993,7.9976,0,0,25.73753,0,0,0,0,16.7739,0.09729,16.87119,42.60872,8.260015208,18.97%,50.86873521,98%,-7.321156922,1931.402286,COM,9.185,6.0,5748.502994,5650.778443,4741.162579,870.7240065,2802.126293,0,0,0,0,0,0,1826.227545,10.59227001,1836.819815,4638.946108,899.2939802,-797.0775092
460902.00,,10280635,SK GMS ORG FS 20LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,XX-large,SKITTLES GUMMIES ORIGINAL,Starch Molded,Jellies & Gums,Future Consumption,460902.0,0.0,SK GMS ORG FS 20LB BULK,Fruity Confections,SKITTLES,Original,Funsize,XX-large,SKITTLES GUMMIES ORIGINAL,Starch Molded,Seasonal,SEAS,NON-DISPLAY,$280023.04,$238405.693768704,$-36969.3573199347,,,,-15.51%,54.75%,,Post - June 2023,60.5,59.4715,14.86%,50.63277728,13.81231,9.1,0,0,22.91231,0,0,0,0,25.857,0.14997,26.00697,48.91928,9.565076683,18.89%,58.48435668,98%,-7.851579405,1522.520944,COM,9.072,1.0,6668.871252,6555.500441,5581.214427,1003.08642,2525.607363,0,0,0,0,0,0,2850.198413,16.53108466,2866.729497,5392.336861,1054.351486,-865.4739203
460899.00,,10280637,SK GMS WLD BRY FS 20LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES GUMMIES WILD BERRY,Starch Molded,Jellies & Gums,Future Consumption,460899.0,0.0,SK GMS WLD BRY FS 20LB BULK,Fruity Confections,SKITTLES,Wild Berry,Funsize,Bulk,SKITTLES GUMMIES WILD BERRY,Starch Molded,Seasonal,SEAS,NON-DISPLAY,$275342.76,$234421.002364626,$-40808.2249236116,,,,-17.41%,52.89%,,Post - June 2023,60.5,59.4715,14.86%,50.63277728,14.21401,9.6408,0,0,23.85481,0,0,0,0,25.8791,0.1501,26.0292,49.88401,9.56296798,18.89%,59.44697798,100%,-8.814200702,1567.145535,COM,9.07,1.0,6670.341786,6556.945976,5582.445124,1062.932745,2630.07828,0,0,0,0,0,0,2853.263506,16.54906284,2869.812569,5499.890849,1054.351486,-971.7972108
299097.00,,10110873,SK ORI FS ESTR 325KG BULKT,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Easter,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,299097.0,0.0,SK ORI FS ESTR 325KG BULKT,Fruity Confections,SKITTLES,Original,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,$28227.87,$24032.6114985495,$8565.1894548798,,,,35.64%,67.92%,,Post - June 2022,2174.72,2137.74976,14.86%,1820.034932,407.02075,143.71523,24.42125,8.62291,583.78014,117.04074,74.48119,13.165062,8.776708,0,31.46893,244.93263,828.71277,342.664233,18.83%,1171.377003,55%,648.6579293,1252.371538,WAC,325,1.0,6691.446154,6577.691569,5600.107484,442.2007077,1796.246585,360.1253538,229.1728923,75.14230769,26.53203077,40.50788308,27.00525538,0,96.82747692,753.6388615,2549.885446,1054.351486,1995.870552
254840.00,430867,M4193000,SKITTLES WILD BERRY FS 325KG BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES WILD BERRY,Panned Sugar,Chewy /Toffee Candy,Future Consumption,254840.0,0.0,SKITTLES WILD BERRY FS 325KG BULK,Fruity Confections,SKITTLES,Wild Berry,Funsize,Bulk,SKITTLES WILD BERRY,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,$462737.63,$393965.031281125,$136638.474832488,,,,34.68%,66.97%,,Post - June 2022,2174.72,2137.74976,14.86%,1820.034932,425.4954,141.67185,25.52972,8.50031,601.19728,117.04074,74.48119,13.165062,8.776708,0,31.46893,244.93263,846.12991,342.664233,18.83%,1188.794143,56%,631.2407893,1309.216615,WAC,325,1.0,6691.446154,6577.691569,5600.107484,435.9133846,1849.837785,360.1253538,229.1728923,78.55298462,26.1548,40.50788308,27.00525538,0,96.82747692,753.6388615,2603.476646,1054.351486,1942.279352
280176.00,438951,10104916,SK ORI FS 325KG BULKT,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,280176.0,0.0,SK ORI FS 325KG BULKT,Fruity Confections,SKITTLES,Original,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,$736100,$626699.971485,$216628.996394206,,,,34.57%,67.65%,,Post - June 2022,2174.72,2137.74976,14.86%,1820.034932,417.1309288,138.7153295,24.6927819,8.225787747,588.7648279,132.7002395,62.53380533,12.92426608,8.616177389,0,42.70682775,259.481316,848.246144,342.664233,18.83%,1190.910377,56%,629.1245553,1283.479781,YRV,325,1.0,6691.446154,6577.691569,5600.107484,426.8163985,1811.584086,408.3084292,192.4117087,75.97779046,25.31011614,39.76697255,26.51131504,0,131.4056238,798.4040494,2609.988135,1054.351486,1935.767862
460902.00,,10280635,SK GMS ORG FS 20LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,XX-large,SKITTLES GUMMIES ORIGINAL,Starch Molded,Jellies & Gums,Future Consumption,460902.0,0.0,SK GMS ORG FS 20LB BULK,Fruity Confections,SKITTLES,Original,Funsize,XX-large,SKITTLES GUMMIES ORIGINAL,Starch Molded,Seasonal,SEAS,NON-DISPLAY,,,,$283076,$244011.512,$-34365.8242433587,-14.08%,55.31%,,Post - June 2023,60.5,59.4715,13.80%,51.264433,13.81231,9.1,0,0,22.91231,0,0,0,0,25.857,0.14997,26.00697,48.91928,9.565076683,18.66%,58.48435668,98%,-7.219923683,1522.520944,COM,9.072,1.0,6668.871252,6555.500441,5650.84138,1003.08642,2525.607363,0,0,0,0,0,0,2850.198413,16.53108466,2866.729497,5392.336861,1054.351486,-795.8469668
460899.00,,10280637,SK GMS WLD BRY FS 20LB BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES GUMMIES WILD BERRY,Starch Molded,Jellies & Gums,Future Consumption,460899.0,0.0,SK GMS WLD BRY FS 20LB BULK,Fruity Confections,SKITTLES,Wild Berry,Funsize,Bulk,SKITTLES GUMMIES WILD BERRY,Starch Molded,Seasonal,SEAS,NON-DISPLAY,,,,$284795.12,$245493.39344,$-39184.2963349587,-15.96%,53.47%,,Post - June 2023,60.5,59.4715,13.80%,51.264433,14.21401,9.6408,0,0,23.85481,0,0,0,0,25.8791,0.1501,26.0292,49.88401,9.56296798,18.65%,59.44697798,100%,-8.18254498,1567.145535,COM,9.07,1.0,6670.341786,6556.945976,5652.087431,1062.932745,2630.07828,0,0,0,0,0,0,2853.263506,16.54906284,2869.812569,5499.890849,1054.351486,-902.1549041
254840.00,430867,M4193000,SKITTLES WILD BERRY FS 325KG BULK,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES WILD BERRY,Panned Sugar,Chewy /Toffee Candy,Future Consumption,254840.0,0.0,SKITTLES WILD BERRY FS 325KG BULK,Fruity Confections,SKITTLES,Wild Berry,Funsize,Bulk,SKITTLES WILD BERRY,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,,,,$441832.61,$380859.70982,$135158.351886318,35.49%,67.37%,,Post - June 2022,2174.72,2137.74976,13.80%,1842.740293,425.4954,141.67185,25.52972,8.50031,601.19728,117.04074,74.48119,13.165062,8.776708,0,31.46893,244.93263,846.12991,342.664233,18.60%,1188.794143,56%,653.9461501,1309.216615,WAC,325,1.0,6691.446154,6577.691569,5669.970133,435.9133846,1849.837785,360.1253538,229.1728923,78.55298462,26.1548,40.50788308,27.00525538,0,96.82747692,753.6388615,2603.476646,1054.351486,2012.142
280176.00,438951,10104916,SK ORI FS 325KG BULKT,Seasonal,Fruity ConfectionsSKITTLES,Fruity Confections,SKITTLES,Non-Seasonal Gifting,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Chewy /Toffee Candy,Future Consumption,280176.0,0.0,SK ORI FS 325KG BULKT,Fruity Confections,SKITTLES,Original,Funsize,Bulk,SKITTLES ORIGINAL,Panned Sugar,Seasonal,SEAS,NON-DISPLAY,,,,$739044.23,$637056.12626,$225344.961973456,35.37%,68.05%,,Post - June 2022,2174.72,2137.74976,13.80%,1842.740293,417.1309288,138.7153295,24.6927819,8.225787747,588.7648279,132.7002395,62.53380533,12.92426608,8.616177389,0,42.70682775,259.481316,848.246144,342.664233,18.60%,1190.910377,56%,651.8299161,1283.479781,YRV,325,1.0,6691.446154,6577.691569,5669.970133,426.8163985,1811.584086,408.3084292,192.4117087,75.97779046,25.31011614,39.76697255,26.51131504,0,131.4056238,798.4040494,2609.988135,1054.351486,2005.630511
